,name,distance,mass,radius,lum,,star_name,distance,mass,radius
58,Delta Cephei,0887,4.5,44.5,"2,000",58,2MASS J04455387-3048204 [de],42,64,1.00
59,Mu Cephei,"06,000",19.2,972,"135,000",59,2MASS J04510093-3402150 [de],69,72,1.04
60,Titawin,044.25,1.27,1.48,3.57,60,2MASS J05002100+0330501 [de],44,64,1.00
61,Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000",61,2MASS J05012406-0010452 [de],64,21,1.38
62,P Cygni,"05,545",30,76,"610,000",62,2MASS J05160945-0445499 [de],73,47,0.97
63,La Superba,"01,000",,129 - 342,"2,472 - 5,800",63,2MASS J0523−1403,40,68,1.01
64,VV Cephei,"04,900",18.2,"516 - 1,050","200,000",64,2MASS 0532+8246,81,83,
65,61 Cygni,011.41,0.7,0.665,0.153,65,SDSS J053951.99-005902.0,41.62,61,1.01
66,R Doradus,0178,0.7 - 1.0,298,"4,350",66,2MASS J05591914-1404488 [de],34,,
67,Polaris Australis,0281,1.59,3.74,38,67,LSR 0602+3910 [de],34.6,28,1.41
68,R Coronae Borealis,"04,566",0.85,85,"10,000",68,2MASS J06085283-2753583,102,38,1.51
69,54 Piscium,036.1,0.76,0.94,0.52,69,WISEP J061135.13-041024.0A,69,65,
70,Mira,0300,1.2,370,"9,000",70,WISEP J061135.13-041024.0B,69,53,
71,RW Cephei,"014,000",13.9,"1,158","417,000",71,2MASS J06244595-4521548 [de],39,56,0.99
72,Lacaille 8760,012.87,0.6,0.51,0.072,72,2MASS J06411840-4322329 [de],65,67,1.01
73,V838 Monocerotis,"019,896",?,380 - 750,"15,000",73,DENIS-P J0652197-253450 [de],51,75,1.05
74,HD 140283,0190,?,1.4,3.83,74,2MASS J07003664+3157266 [de],40,,
75,II Pegasi,0130,0.8,3.4,1.06,75,2MASS J07075327-4900503,60,72,1.03
76,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000",76,UGPS J072227.51-054031.2,13.4,26,0.98
77,Pistol Star,"025,000",100,320,"1,700,000",77,2MASSI J0727182+171001 [de],29.6,41,0.94
